[ Modem Capability TLV list ]

[1] SUPPORTED : TRUE

[2] TLV List
- Numer of TLVs : 15
TYPE:0x00000003,  Length:1,  Value:0x03
TYPE:0x00000004,  Length:1,  Value:0x01
TYPE:0x00000006,  Length:1,  Value:0x00
TYPE:0x00000007,  Length:1,  Value:0x03
TYPE:0x0000000c,  Length:2,  Value:0x0303
TYPE:0x0000000f,  Length:1,  Value:0x00
TYPE:0x00000003,  Length:1,  Value:0x03
TYPE:0x00000004,  Length:1,  Value:0x01
TYPE:0x00000006,  Length:1,  Value:0x00
TYPE:0x00000007,  Length:1,  Value:0x03
TYPE:0x0000000c,  Length:2,  Value:0x0303
TYPE:0x00000007,  Length:1,  Value:0x03
TYPE:0x0000000c,  Length:2,  Value:0x0303
TYPE:0x0000000d,  Length:1,  Value:0x01
TYPE:0x0000000a,  Length:1,  Value:0x00
