Start : 2556455180, 78016.820692sec

Sleep Statics
===== Client : 0 - MPSS =====
Time Sleep : 73956910380
Time Awake : 20534481504
Sleep : 78.268410% Awake : 21.731590%
Log available 73095 ~ 78016sec
Client : 0, Discarded : 0
Client : 0, Discarded Time : 0

Time sclk	Time sec	Status	Duration
===== Client : 0 - MPSS =====
01403431577624	73095.394668	S	1.241046
01403455405716	73096.635714	W	0.048048
01403456328236	73096.683762	S	0.114385
01403458524428	73096.798147	W	0.006794
01403458654872	73096.804941	S	1.110860
01403479983388	73097.915801	W	0.047889
01403480902848	73097.963690	S	1.232019
01403504557620	73099.195709	W	0.038948
01403505305424	73099.234657	S	1.241055
01403529133672	73100.475712	W	0.038916
01403529880864	73100.514628	S	1.241076
01403553709520	73101.755704	W	0.039018
01403554458668	73101.794722	S	1.240982
01403578285520	73103.035704	W	0.037961
01403579014372	73103.073665	S	1.242045
01403602861640	73104.315710	W	0.037972
01403603590700	73104.353682	S	1.242028
01403627437640	73105.595710	W	0.046921
01403628338524	73105.642631	S	1.233075
01403652013556	73106.875706	W	0.048026
01403652935664	73106.923732	S	1.231976
01403676589608	73108.155709	W	0.047975
01403677510720	73108.203683	S	1.242018
01403701357472	73109.445702	W	0.019645
01403701734664	73109.465347	S	1.260347
01403725933336	73110.725695	W	0.019671
01403726311020	73110.745366	S	1.260314
01403750509044	73112.005679	W	0.055889
01403751582104	73112.061568	S	1.214122
01403774893256	73113.275690	W	0.038871
01403775639584	73113.314562	S	1.241124
01403799469172	73114.555686	W	0.047938
01403800389580	73114.603624	S	1.232056
01403824045052	73115.835680	W	0.047928
01403824965276	73115.883608	S	0.587648
01403836248112	73116.471256	W	0.108217
01403838325888	73116.579473	S	0.082121
01403839902612	73116.661594	W	0.001080
01403839923352	73116.662675	S	0.002768
01403839976496	73116.665443	W	0.001251
01403840000512	73116.666693	S	0.001973
01403840038400	73116.668667	W	0.000972
01403840057060	73116.669639	S	0.014682
01403840338948	73116.684320	W	0.001127
01403840360588	73116.685447	S	0.001933
01403840397696	73116.687380	W	0.001002
01403840416940	73116.688382	S	0.003410
01403840482416	73116.691793	W	0.001030
01403840502188	73116.692822	S	0.009789
01403840690136	73116.702611	W	0.000859
01403840706628	73116.703470	S	0.005872
01403840819368	73116.709342	W	0.000872
01403840836108	73116.710214	S	0.003326
01403840899976	73116.713540	W	0.001043
01403840920000	73116.714583	S	0.001963
01403840957688	73116.716546	W	0.001021
01403840977292	73116.717567	S	0.003117
01403841037136	73116.720684	W	0.000980
01403841055944	73116.721664	S	0.001879
01403841092016	73116.723542	W	0.000893
01403841109168	73116.724436	S	0.050502
01403842078804	73116.774938	W	0.001099
01403842099912	73116.776037	S	0.012652
01403842342832	73116.788689	W	0.001090
01403842363752	73116.789779	S	0.032311
01403842984128	73116.822090	W	0.019688
01403843362136	73116.841778	S	0.273794
01403848618972	73117.115571	W	0.046810
01403849517728	73117.162382	S	0.039779
01403850281480	73117.202160	W	0.030277
01403850862804	73117.232438	S	0.017671
01403851202096	73117.250109	W	0.086473
01403852862376	73117.336582	S	0.042931
01403853686644	73117.379513	W	0.084404
01403855307200	73117.463917	S	0.680143
01403868365940	73118.144059	W	0.014755
01403868649240	73118.158815	S	0.236814
01403873196068	73118.395629	W	0.038880
01403873942560	73118.434508	S	0.630664
01403886051312	73119.065173	W	0.015507
01403886349040	73119.080679	S	0.071669
01403887725076	73119.152348	W	0.023993
01403888185744	73119.176341	S	0.499327
01403897772820	73119.675668	W	0.503665
01403907443196	73120.179333	S	0.044878
01403908304860	73120.224211	W	0.014773
01403908588504	73120.238985	S	0.716635
01403922347896	73120.955620	W	0.047656
01403923262888	73121.003275	S	0.168413
01403926496420	73121.171689	W	0.024213
01403926961308	73121.195901	S	0.990162
01403945972424	73122.186064	W	0.030181
01403946551908	73122.216245	S	0.019767
01403946931440	73122.236012	W	0.038424
01403947669176	73122.274436	S	0.119968
01403949972564	73122.394404	W	0.250541
01403954782960	73122.644946	S	0.011850
01403955010488	73122.656796	W	0.067204
01403956300804	73122.724000	S	0.476673
01403965452932	73123.200674	W	0.015173
01403965744256	73123.215847	S	0.027534
01403966272908	73123.243381	W	0.022195
01403966699056	73123.265576	S	0.198937
01403970518644	73123.464513	W	0.000687
01403970531832	73123.465200	S	0.001467
01403970559996	73123.466666	W	0.000046
01403970560872	73123.466712	S	0.049224
01403971505964	73123.515936	W	0.037937
01403972234360	73123.553873	S	0.053196
01403973255720	73123.607069	W	0.000954
01403973274044	73123.608023	S	0.001970
01403973311864	73123.609993	W	0.001033
01403973331704	73123.611026	S	0.005150
01403973430592	73123.616177	W	0.000886
01403973447604	73123.617063	S	0.001926
01403973484576	73123.618988	W	0.000904
01403973501928	73123.619892	S	0.001942
01403973539212	73123.621834	W	0.001215
01403973562540	73123.623049	S	0.001943
01403973599840	73123.624992	W	0.001025
01403973619516	73123.626016	S	0.002032
01403973658536	73123.628049	W	0.000990
01403973677544	73123.629039	S	0.305631
01403979545660	73123.934670	W	0.018875
01403979908068	73123.953545	S	0.110685
01403982033224	73124.064230	W	1.600782
01404012768248	73125.665013	S	0.121674
01404015104380	73125.786686	W	0.106465
01404017148516	73125.893152	S	0.182623
01404020654880	73126.075775	W	0.047793
01404021572512	73126.123568	S	1.232075
01404045228356	73127.355644	W	0.038955
01404045976300	73127.394599	S	0.123198
01404048341692	73127.517796	W	0.048066
01404049264568	73127.565863	S	1.069789
01404069804520	73128.635652	W	0.047965
01404070725440	73128.683617	S	1.231995
01404094379744	73129.915612	W	0.038933
01404095127252	73129.954544	S	1.241057
01404118955556	73131.195602	W	0.038967
01404119703720	73131.234569	S	1.198635
01404142717512	73132.433204	W	0.006011
01404142832924	73132.439215	S	0.036832
01404143540092	73132.476046	W	0.047507
01404144452220	73132.523553	S	0.617504
01404156308292	73133.141057	W	6.010936
01404271718256	73139.151993	S	1.003598
01404290987340	73140.155591	W	0.137964
01404293636248	73140.293555	S	1.142032
01404315563256	73141.435586	W	0.146727
01404318380408	73141.582313	S	0.856266
01404334820708	73142.438579	W	0.059853
01404335969876	73142.498431	S	0.217157
01404340139292	73142.715588	W	0.167230
01404343350100	73142.882818	S	1.112736
01404364714628	73143.995554	W	0.038940
01404365462268	73144.034493	S	1.241096
01404389291316	73145.275589	W	0.110979
01404391422120	73145.386569	S	1.168998
01404413866888	73146.555567	W	0.078964
01404415382996	73146.634531	S	1.201035
01404438442860	73147.835566	W	0.038966
01404439191016	73147.874532	S	1.241025
01404463018704	73149.115558	W	0.047895
01404463938296	73149.163453	S	1.232102
01404487594648	73150.395555	W	0.284992
01404493066504	73150.680547	S	0.995003
01404512170556	73151.675550	W	0.038865
01404512916764	73151.714415	S	1.241140
01404536746652	73152.955555	W	0.047996
01404537668180	73153.003551	S	1.231994
01404561322456	73154.235545	W	0.038953
01404562070348	73154.274497	S	1.241041
01404585898344	73155.515539	W	0.038950
01404586646176	73155.554488	S	1.241046
01404610474264	73156.795535	W	0.145965
01404613276792	73156.941500	S	0.604993
01404624892660	73157.546493	W	0.036919
01404625601496	73157.583411	S	0.492137
01404635050528	73158.075548	W	0.069012
01404636375560	73158.144560	S	1.210945
01404659625712	73159.355506	W	0.077949
01404661122328	73159.433455	S	1.202052
01404684201732	73160.635507	W	0.068983
01404685526208	73160.704490	S	1.211021
01404708777820	73161.915511	W	0.109986
01404710889556	73162.025498	S	1.170000
01404733353560	73163.195498	W	0.047984
01404734274860	73163.243482	S	1.232023
01404757929696	73164.475505	W	0.038882
01404758676236	73164.514387	S	1.241124
01404782505820	73165.755511	W	0.038971
01404783254068	73165.794483	S	1.241017
01404807081600	73167.035500	W	0.047928
01404808001816	73167.083428	S	1.232072
01404831657592	73168.315500	W	0.255996
01404836572720	73168.571496	S	1.023996
01404856233436	73169.595491	W	0.077969
01404857730444	73169.673461	S	1.202022
01404880809268	73170.875483	W	0.038889
01404881555936	73170.914372	S	1.241107
01404905385196	73172.155479	W	0.068983
01404906709660	73172.224461	S	1.211019
01404929961232	73173.435481	W	0.212031
01404934032220	73173.647511	S	1.067949
01404954536836	73174.715460	W	0.138074
01404957187856	73174.853534	S	1.141955
01404979113400	73175.995490	W	0.068901
01404980436300	73176.064391	S	1.211068
01405003688804	73177.275459	W	0.077973
01405005185888	73177.353432	S	1.202031
01405028264876	73178.555462	W	0.047975
01405029185996	73178.603437	S	0.538470
01405039524616	73179.141907	W	5.015973
01405135831304	73184.157880	S	0.797555
01405151144360	73184.955435	W	0.068922
01405152467664	73185.024358	S	1.211078
01405175720364	73186.235436	W	0.038936
01405176467932	73186.274371	S	1.241059
01405200296272	73187.515431	W	0.142005
01405203022760	73187.657435	S	0.347213
01405209689248	73188.004648	W	0.009076
01405209863504	73188.013724	S	0.781711
01405224872356	73188.795435	W	0.048019
01405225794312	73188.843454	S	1.231962
01405249447980	73190.075416	W	0.069989
01405250791764	73190.145404	S	1.210015
01405274024044	73191.355419	W	0.078910
01405275539112	73191.434329	S	1.201081
01405298599864	73192.635410	W	0.120103
01405300905832	73192.755512	S	1.159894
01405323175804	73193.915406	W	0.106029
01405325211568	73194.021436	S	1.083512
01405346015000	73195.104948	W	0.005996
01405346130120	73195.110944	S	0.084888
01405347759960	73195.195831	W	0.069486
01405349094100	73195.265318	S	1.210086
01405372327748	73196.475404	W	0.038941
01405373075420	73196.514345	S	1.241050
01405396903572	73197.755394	W	0.120028
01405399208104	73197.875422	S	1.159977
01405421479660	73199.035399	W	0.078979
01405422996056	73199.114378	S	1.201009
01405446055424	73200.315387	W	0.139029
01405448724784	73200.454416	S	1.141104
01405470633972	73201.595519	W	0.078826
01405472147428	73201.674345	S	1.200931
01405495205304	73202.875276	W	0.111121
01405497338828	73202.986397	S	1.168904
01405519781776	73204.155301	W	0.174139
01405523125240	73204.329440	S	1.105865
01405544357856	73205.435305	W	0.070047
01405545702752	73205.505352	S	1.209942
01405568933640	73206.715294	W	0.198082
01405572736812	73206.913376	S	1.081917
01405593509624	73207.995293	W	0.121045
01405595833696	73208.116338	S	1.159025
01405618086972	73209.275363	W	0.079028
01405619604312	73209.354391	S	1.200964
01405642662812	73210.555355	W	0.069940
01405644005656	73210.625295	S	1.210050
01405667238608	73211.835344	W	0.326999
01405673516984	73212.162343	S	0.953005
01405691814680	73213.115348	W	0.199974
01405695654180	73213.315322	S	1.080014
01405716390452	73214.395336	W	0.048028
01405717312584	73214.443364	S	1.231970
01405740966404	73215.675334	W	0.069973
01405742309892	73215.745307	S	1.210034
01405765542548	73216.955341	W	0.110913
01405767672084	73217.066254	S	0.512531
01405777512684	73217.578786	W	0.036797
01405778219192	73217.615583	S	0.619768
01405790118744	73218.235351	W	0.078921
01405791634024	73218.314272	S	1.201032
01405814693844	73219.515304	W	0.117047
01405816941156	73219.632352	S	1.162915
01405839269132	73220.795267	W	0.146733
01405842086408	73220.942000	S	0.856290
01405858527180	73221.798291	W	0.059849
01405859676284	73221.858140	S	0.217154
01405863845636	73222.075294	W	0.039953
01405864612728	73222.115246	S	1.240086
01405888422388	73223.355333	W	0.038856
01405889168416	73223.394188	S	0.747237
01405903515372	73224.141426	W	5.015250
01405999808172	73229.156676	S	0.598600
01406011301288	73229.755275	W	0.039025
01406012050564	73229.794300	S	0.289852
01406017615728	73230.084152	W	0.057776
01406018725036	73230.141929	S	0.059123
01406019860204	73230.201052	W	0.014911
01406020146488	73230.215963	S	0.037376
01406020864108	73230.253339	W	0.085463
01406022504992	73230.338802	S	0.696500
01406035877792	73231.035302	W	0.047961
01406036798636	73231.083262	S	1.231996
01406060452956	73232.315258	W	0.047970
01406061373976	73232.363228	S	1.232030
01406085028956	73233.595258	W	0.038980
01406085777364	73233.634238	S	1.241011
01406109604780	73234.875249	W	0.039013
01406110353836	73234.914262	S	1.240996
01406134180952	73236.155258	W	0.038945
01406134928700	73236.194203	S	1.241060
01406158757048	73237.435263	W	0.047903
01406159676792	73237.483166	S	1.232099
01406183333096	73238.715265	W	0.047967
01406184254064	73238.763233	S	1.232014
01406207908728	73239.995246	W	0.047999
01406208830304	73240.043245	S	1.232003
01406232484756	73241.275248	W	0.038885
01406233231340	73241.314132	S	1.241118
01406257060796	73242.555250	W	0.047917
01406257980808	73242.603167	S	1.232076
01406281636660	73243.835243	W	0.038955
01406282384592	73243.874198	S	1.241038
01406306212516	73245.115235	W	0.039024
01406306961768	73245.154259	S	1.240978
