Start : 3333794509, 101739.334406sec

Sleep Statics
===== Client : 0 - WCN =====
Time Sleep : 1899991776468
Time Awake : 52937011936
Sleep : 97.289353% Awake : 2.710647%
Log available 18 ~ 101733sec
Client : 0, Discarded : 0
Client : 0, Discarded Time : 0

Time sclk	Time sec	Status	Duration
===== Client : 0 - WCN =====
00000348623964	00018.157498	S	0.040181
00000349395444	00018.197679	W	11.527433
00000570722156	00029.725112	S	16187.896258
00311378330304	16217.621370	W	29.644765
00311947509800	16247.266135	S	0.062391
00311948707716	16247.328527	W	0.070303
00311950057536	16247.398830	S	0.061118
00311951231004	16247.459948	W	0.013925
00311951498372	16247.473874	S	0.018333
00311951850368	16247.492207	W	3.709560
00312023073912	16251.201766	S	0.001889
00312023110180	16251.203655	W	1.292122
00312047918924	16252.495777	S	0.016320
00312048232272	16252.512098	W	0.222218
00312052498860	16252.734316	S	0.016433
00312052814368	16252.750748	W	0.096176
00312054660944	16252.846924	S	0.058389
00312055782008	16252.905313	W	0.094551
00312057597388	16252.999864	S	0.016462
00312057913460	16253.016326	W	0.639346
00312070188912	16253.655672	S	0.522237
00312080215860	16254.177909	W	191.283321
00315752855628	16445.461231	S	0.023691
00315753310504	16445.484922	W	0.027873
00315753845672	16445.512795	S	0.003241
00315753907904	16445.516037	W	0.042155
00315754717280	16445.558192	S	0.038187
00315755450476	16445.596379	W	0.014862
00315755735820	16445.611241	S	0.022817
00315756173900	16445.634057	W	1.990372
00315794389036	16447.624429	S	0.012890
00315794636516	16447.637319	W	0.342068
00315801204212	16447.979386	S	0.012246
00315801439340	16447.991632	W	0.015276
00315801732636	16448.006908	S	0.045682
00315802609724	16448.052590	W	0.154064
00315805567752	16448.206654	S	0.016553
00315805885576	16448.223207	W	0.121631
00315808220888	16448.344838	S	0.014797
00315808505000	16448.359635	W	0.187676
00315812108376	16448.547311	S	0.016573
00315812426576	16448.563884	W	0.325910
00315818684052	16448.889794	S	0.003505
00315818751344	16448.893299	W	0.106910
00315820804024	16449.000210	S	0.000904
00315820821388	16449.001114	W	0.245327
00315825531660	16449.246441	S	0.015533
00315825829900	16449.261974	W	0.248140
00315830594184	16449.510114	S	0.021559
00315831008124	16449.531673	W	0.178027
00315834426236	16449.709700	S	0.016338
00315834739920	16449.726038	W	0.361860
00315841687624	16450.087897	S	0.016288
00315842000348	16450.104185	W	0.257447
00315846943328	16450.361632	S	0.014095
00315847213960	16450.375727	W	0.061907
00315848402580	16450.437634	S	0.016426
00315848717956	16450.454060	W	0.127243
00315851161024	16450.581303	S	0.016507
00315851477960	16450.597810	W	0.647145
00315863903144	16451.244955	S	0.015009
00315864191320	16451.259965	W	16.207998
00316175384872	16467.467962	S	0.015895
00316175690064	16467.483857	W	0.258715
00316180657384	16467.742572	S	0.016611
00316180976320	16467.759183	W	0.279232
00316186337576	16468.038415	S	0.004018
00316186414712	16468.042433	W	7.234726
00316325321448	16475.277159	S	0.016020
00316325629040	16475.293179	W	6.399430
00316448498096	16481.692609	S	0.016467
00316448814264	16481.709076	W	0.309084
00316454748680	16482.018160	S	0.134745
00316457335788	16482.152906	W	0.013447
00316457593972	16482.166353	S	0.056698
00316458682572	16482.223051	W	0.868853
00316475364552	16483.091904	S	0.001577
00316475394828	16483.093481	W	0.061239
00316476570624	16483.154720	S	0.031150
00316477168712	16483.185870	W	0.014730
00316477451520	16483.200600	S	0.281067
00316482848004	16483.481667	W	0.015857
00316483152460	16483.497524	S	0.348710
00316489847692	16483.846234	W	0.307654
00316495754640	16484.153888	S	0.015762
00316496057280	16484.169650	W	0.062163
00316497250812	16484.231813	S	0.076493
00316498719480	16484.308306	W	0.215918
00316502865104	16484.524224	S	0.005217
00316502965280	16484.529442	W	0.101406
00316504912268	16484.630847	S	0.016683
00316505232576	16484.647530	W	0.846048
00316521476692	16485.493578	S	0.016466
00316521792840	16485.510044	W	0.060882
00316522961768	16485.570925	S	0.267323
00316528094360	16485.838248	W	0.235394
00316532613932	16486.073642	S	0.015312
00316532907932	16486.088955	W	0.401309
00316540613068	16486.490264	S	0.015354
00316540907860	16486.505618	W	0.068958
00316542231848	16486.574575	S	0.440236
00316550684380	16487.014811	W	0.015484
00316550981664	16487.030295	S	0.171201
00316554268724	16487.201496	W	0.013889
00316554535388	16487.215385	S	0.215820
00316558679132	16487.431205	W	0.187638
00316562281788	16487.618843	S	0.015126
00316562572208	16487.633969	W	0.934363
00316580511984	16488.568332	S	0.239575
00316585111824	16488.807907	W	0.237178
00316589665636	16489.045085	S	0.014994
00316589953520	16489.060079	W	0.074438
00316591382732	16489.134517	S	0.032094
00316591998936	16489.166611	W	0.013685
00316592261692	16489.180296	S	0.033254
00316592900164	16489.213550	W	0.012389
00316593138040	16489.225940	S	0.344859
00316599759340	16489.570799	W	0.015658
00316600059980	16489.586457	S	0.143088
00316602807276	16489.729546	W	4.252281
00316684451068	16493.981826	S	0.014785
00316684734932	16493.996611	W	0.210560
00316688777676	16494.207171	S	0.009543
00316688960900	16494.216714	W	0.016014
00316689268372	16494.232728	S	0.003180
00316689329436	16494.235908	W	0.135340
00316691927968	16494.371248	S	0.014665
00316692209536	16494.385913	W	0.096223
00316694057020	16494.482136	S	0.014001
00316694325844	16494.496138	W	0.086461
00316695985896	16494.582599	S	0.015348
00316696280576	16494.597947	W	0.168646
00316699518584	16494.766593	S	0.001580
00316699548928	16494.768173	W	0.100179
00316701472356	16494.868352	S	0.005014
00316701568632	16494.873366	W	0.154354
00316704532232	16495.027720	S	0.014934
00316704818956	16495.042654	W	0.104447
00316706824336	16495.147101	S	0.015170
00316707115596	16495.162271	W	0.170196
00316710383368	16495.332467	S	0.014798
00316710667488	16495.347265	W	0.070024
00316712011956	16495.417289	S	0.046645
00316712907544	16495.463935	W	0.086825
00316714574584	16495.550760	S	0.006790
00316714704944	16495.557549	W	0.089431
00316716422024	16495.646980	S	0.002456
00316716469176	16495.649436	W	0.250688
00316721282376	16495.900124	S	0.015541
00316721580760	16495.915665	W	0.092671
00316723360036	16496.008335	S	0.016796
00316723682512	16496.025131	W	0.072088
00316725066596	16496.097219	S	0.083265
00316726665292	16496.180484	W	0.121052
00316728989496	16496.301536	S	0.003397
00316729054716	16496.304933	W	0.061904
00316730243268	16496.366837	S	0.018673
00316730601792	16496.385510	W	0.085972
00316732252456	16496.471482	S	0.015402
00316732548176	16496.486884	W	0.378739
00316739819968	16496.865623	S	0.015047
00316740108868	16496.880670	W	0.351740
00316746862284	16497.232411	S	0.014833
00316747147072	16497.247243	W	0.352751
00316753919888	16497.599994	S	0.014311
00316754194668	16497.614306	W	0.450939
00316762852696	16498.065245	S	0.015118
00316763142956	16498.080362	W	4.087598
00316841624832	16502.167960	S	0.014822
00316841909408	16502.182782	W	0.062049
00316843100748	16502.244831	S	0.032263
00316843720196	16502.277094	W	0.021775
00316844138276	16502.298869	S	0.205299
00316848080012	16502.504167	W	2.655469
00316899065008	16505.159636	S	0.140216
00316901757156	16505.299852	W	0.013708
00316902020356	16505.313560	S	0.271644
00316907235920	16505.585204	W	0.015337
00316907530388	16505.600541	S	0.256636
00316912457800	16505.857177	W	0.094103
00316914264584	16505.951280	S	0.221434
00316918516112	16506.172714	W	0.084847
00316920145176	16506.257561	S	0.050774
00316921120044	16506.308336	W	0.013904
00316921386996	16506.322239	S	0.079250
